screenname,tweet,key
@amadeusu31224,"江國香織「流しの下の骨」
吉本ばなな「デッドエンドの思い出」「アムリタ」
桐野夏生「グロテスク」
三島由紀夫「仮面の告白」
小川洋子「薬指の標本」
宮沢賢治「銀河鉄道の夜」「よだかの星」
恩田陸「六番目の小夜子」
原田マハ「モダン」
#名刺代わりの小説10選",2019-05-29_21:00:00
@mana_wf,"#名刺代わりの小説10選

ジェフリー・ディーヴァー『青い虚空』
ジャック・ロンドン『野生の呼び声』『白い牙』
ウィリアム・アイリッシュ『死者との結婚』
ナンシー・スプリンガー『エノーラ・ホームズの事件簿』
アイザック・アシモフ『鋼鉄都市』",2019-05-29_21:00:00
@Kachi_ps,"夜市/恒川光太郎
リリエンタールの末裔/上田早夕里
本と鍵の季節/米澤穂信
ななつのこ/加納朋子
深川澪通り木戸番小屋/北原亞以子
ウォッチャーズ/クーンツ
夜の翼/シルヴァーバーグ
墓守りのレオ/石川宏千花
窓の向こうのガーシュウィン/宮下奈都
ことり/小川洋子
‥足りん(泣)
#名刺代わりの小説10選",2019-05-29_21:00:00
@mana_wf,"#名刺代わりの小説10選

奈須きのこ『空の境界』
淡路帆希『花守の竜の叙事詩』『ひとしずくの星』
恩田陸『光の帝国　常野物語』",2019-05-29_21:00:00
"Replying to
          @mana_wf","#名刺代わりの小説10選

零崎軋識の人間ノック
零崎曲識の人間人間
零崎双識の人間試験
零崎人識の人間関係:零崎双識
零崎人識の人間関係:匂宮出夢
零崎人識の人間関係:無桐伊織
零崎人識の人間関係:戯言遣い
人類最強の純愛
人類最強のときめき
人類最強の初恋

は？厨二病だが？は？",2019-05-29_21:00:00
@foodlifework,"#名刺代わりの小説10選

『神様のカルテ』夏川草介
『海辺のカフカ』村上春樹
『TUGUMI』吉本ばなな
『風が強く吹いている』三浦しをん
『猫を抱いて象と泳ぐ』小川洋子
『夏への扉』ハインライン
『MOMENT』本田孝好
『天使の卵』村山由佳
『ハリーポッターと謎のプリンス』 J・K・ローリング",2020-07-15_21:00:00
@asshi11946423,"#名刺代わりの小説10選 
アルジャーノンに花束を
ライ麦畑でつかまえて
ムーンパレス
星の王子さま
わたしを離さないで
銀河鉄道の夜
旅のラゴス
おもいでエマノン
夏への扉
ソラリス",2020-07-15_21:00:00
@_10001011010,"#読書好きと繋がりたい
#名刺代わりの小説10選
サン=テグジュペリ「星の王子さま」
同上「戦う操縦士」
フランツ・カフカ「変身」
オルダス・ハクスリー「すばらしい新世界」
マーク・トウェイン「ハックルベリー・フィンの冒険」
サリンジャー「ライ麦畑でつかまえて」
文字数の都合でリプへ続きます",2020-07-15_21:00:00
@emilia_gb,"#名刺代わりの小説10選 
天使の囀り：貴志祐介
こんなにも優しい世界の終わり方：市川 拓司
楽園のカンヴァス：原田マハ
放課後の音符：山田詠美
7-セブン-：宮部みゆき
新世界より：貴志祐介
ループ：鈴木光司
くちなし：彩瀬まる
マチネの終わりに：平野啓一郎
蜂蜜と遠雷：恩田陸
百夜行：東野圭吾",2020-07-15_21:00:00
@satomilktea64,"#名刺代わりの小説10選 
赤毛のアン/モンゴメリ
おしゃべりで空想好きなアンの腹心の友になりたくて、何度も読んだ。
「明日がまだ何ひとつ失敗をしない新しい日だと思うと嬉しくない？」この言葉に励まされ、前を向ける。
人生の厳しさも温かさも、アンとグリン・ゲイブルスが教えてくれました。 pic.twitter.com/K9IUEht0Cb",2020-07-15_21:00:00
